Fac,B_A,Date,MAE,OBR,Care Level
D1,Before,Jan-16,0,1171,Dementia
D1,Before,Feb-16,0,1115,Dementia
D1,Before,Mar-16,0,1175,Dementia
D1,Before,Apr-16,0,1176,Dementia
D1,Before,May-16,1,1134,Dementia
D1,Before,Jun-16,1,1079,Dementia
D1,Before,Jul-16,1,1135,Dementia
D1,Before,Aug-16,1,1008,Dementia
D1,Before,Sep-16,1,1001,Dementia
D1,Before,Oct-16,0,1105,Dementia
D1,Before,Nov-16,0,1077,Dementia
D1,Before,Dec-16,1,1167,Dementia
D1,Before,Jan-17,1,1163,Dementia
D1,Before,Feb-17,1,1080,Dementia
D1,Before,Mar-17,1,1133,Dementia
D1,Before,Apr-17,0,1071,Dementia
D1,Before,May-17,1,1193,Dementia
D1,Before,Jun-17,0,1153,Dementia
D1,After,Oct-17,0,1187,Dementia
D1,After,Nov-17,0,1166,Dementia
D1,After,Dec-17,0,1198,Dementia
D1,After,Jan-18,0,1181,Dementia
D1,After,Feb-18,0,1081,Dementia
D1,After,Mar-18,1,1131,Dementia
D1,After,Apr-18,0,1109,Dementia
D1,After,May-18,0,1180,Dementia
D1,After,Jun-18,1,1165,Dementia
D1,After,Jul-18,1,1196,Dementia
D1,After,Aug-18,2,1205,Dementia
D1,After,Sep-18,0,1175,Dementia
D1,After,Oct-18,2,1235,Dementia
D1,After,Nov-18,0,1195,Dementia
D1,After,Dec-18,0,1119,Dementia
D2,Before,Jan-16,0,747,Dementia
D2,Before,Feb-16,0,696,Dementia
D2,Before,Mar-16,0,707,Dementia
D2,Before,Apr-16,0,689,Dementia
D2,Before,May-16,0,771,Dementia
D2,Before,Jun-16,0,792,Dementia
D2,Before,Jul-16,0,799,Dementia
D2,Before,Aug-16,0,794,Dementia
D2,Before,Sep-16,0,781,Dementia
D2,Before,Oct-16,0,814,Dementia
D2,Before,Nov-16,0,764,Dementia
D2,Before,Dec-16,0,775,Dementia
D2,Before,Jan-17,0,740,Dementia
D2,Before,Feb-17,0,706,Dementia
D2,Before,Mar-17,0,706,Dementia
D2,Before,Apr-17,0,790,Dementia
D2,Before,May-17,0,780,Dementia
D2,Before,Jun-17,0,703,Dementia
D2,Before,Jul-17,1,742,Dementia
D2,After,Nov-17,0,698,Dementia
D2,After,Dec-17,0,787,Dementia
D2,After,Jan-18,0,814,Dementia
D2,After,Feb-18,0,741,Dementia
D2,After,Mar-18,0,813,Dementia
D2,After,Apr-18,1,802,Dementia
D2,After,May-18,0,827,Dementia
D2,After,Jun-18,0,803,Dementia
D2,After,Jul-18,0,754,Dementia
D2,After,Aug-18,0,724,Dementia
D2,After,Sep-18,0,713,Dementia
D2,After,Oct-18,0,664,Dementia
D2,After,Nov-18,0,630,Dementia
D2,After,Dec-18,0,645,Dementia
D3,Before,Jan-16,2,401,Dementia
D3,Before,Feb-16,1,323,Dementia
D3,Before,Mar-16,1,405,Dementia
D3,Before,Apr-16,0,393,Dementia
D3,Before,May-16,0,413,Dementia
D3,Before,Jun-16,0,390,Dementia
D3,Before,Jul-16,0,396,Dementia
D3,Before,Aug-16,0,409,Dementia
D3,Before,Sep-16,0,405,Dementia
D3,Before,Oct-16,0,382,Dementia
D3,Before,Nov-16,0,376,Dementia
D3,Before,Dec-16,0,389,Dementia
D3,Before,Jan-17,1,394,Dementia
D3,Before,Feb-17,0,354,Dementia
D3,Before,Mar-17,0,402,Dementia
D3,Before,Apr-17,0,368,Dementia
D3,Before,May-17,0,367,Dementia
D3,Before,Jun-17,0,406,Dementia
D3,Before,Jul-17,0,431,Dementia
D3,After,Nov-17,0,338,Dementia
